Time (ms);Knee Angle
0;5,05740165710449
33;5,09946489334106
67;5,1323094367981
100;5,15325403213501
133;5,16673707962036
167;5,17430448532104
200;5,17078971862793
233;5,15433311462402
267;5,13559770584106
300;5,13106489181519
333;5,14735794067383
367;5,17640781402588
400;5,20879745483398
433;5,2392840385437
467;5,25705862045288
500;5,25115966796875
533;5,22443866729736
567;5,19121408462524
600;5,16569089889526
633;5,15473604202271
667;5,15401363372803
700;5,15058851242065
733;5,13825178146362
767;5,12439203262329
800;5,11817693710327
833;5,12153053283691
867;5,12874412536621
900;5,12911701202393
933;5,11800956726074
967;5,10897445678711
1000;5,11817502975464
1033;5,13801383972168
1067;5,15004777908325
1100;5,15155696868896
1133;5,14526128768921
1167;5,1265983581543
1200;5,10046482086182
1233;5,08231401443481
1267;5,07350158691406
1300;5,06303358078003
1333;5,05297756195068
1367;5,05942249298096
1400;5,08851718902588
1433;5,12083292007446
1467;5,12761259078979
1500;5,10444068908691
1533;5,07716369628906
1567;5,07651805877686
1600;5,11332416534424
1633;5,16811561584473
1667;5,20502424240112
1700;5,20157432556152
1733;5,16132879257202
1767;5,1045994758606
1800;5,05370807647705
1833;5,02075481414795
1867;5,00524997711182
1900;5,00104999542236
1933;5,00393199920654
1967;5,01624059677124
2000;5,04690551757813
2033;5,10143566131592
2067;5,16780281066895
2100;5,22244548797607
2133;5,25366830825806
2167;5,26771831512451
2200;5,27486610412598
2233;5,27954864501953
2267;5,28002738952637
2300;5,27139282226563
2333;5,24913454055786
2367;5,21358299255371
2400;5,17220783233643
2433;5,13578271865845
2467;5,11517810821533
2500;5,12086391448975
2533;5,15512180328369
2567;5,20341205596924
2600;5,24112129211426
2633;5,25008773803711
2667;5,22868967056274
2700;5,19028043746948
2733;5,15057468414307
2767;5,11428022384644
2800;5,07890939712524
2833;5,04646301269531
2867;5,02265691757202
2900;5,0112361907959
2933;5,01456022262573
2967;5,03573703765869
3000;5,07764577865601
3033;5,1382999420166
3067;5,20644760131836
3100;5,26599740982056
3133;5,30705070495605
3167;5,32952499389648
3200;5,33674144744873
3233;5,32800483703613
3267;5,29664325714111
3300;5,23906087875366
3333;5,16858339309692
3367;5,10958909988403
3400;5,07438039779663
3433;5,05714130401611
3467;5,0478777885437
3500;5,04259872436523
3533;5,04408931732178
3567;5,0591254234314
3600;5,09440565109253
3633;5,1506929397583
3667;5,21755504608154
3700;5,27619647979736
3733;5,30856561660767
3767;5,30230379104614
3800;5,25599813461304
3833;5,18796300888062
3865;5,12801122665405
3898;5,09382057189941
3932;5,08528470993042
3965;5,09823226928711
3998;5,13209962844849
4032;5,18463802337646
4065;5,24336814880371
4098;5,28651428222656
4132;5,29493999481201
4165;5,26667499542236
4198;5,22342538833618
4232;5,18995094299316
4265;5,16424417495728
4298;5,13072776794434
4332;5,09173440933228
4365;5,0608434677124
4398;5,04414987564087
4432;5,04226732254028
4465;5,05728673934937
4498;5,09260416030884
4532;5,1474757194519
4565;5,21176624298096
4598;5,26981067657471
4632;5,31079483032227
4665;5,33169412612915
4698;5,33123588562012
4732;5,30634307861328
4765;5,2599835395813
4798;5,21149349212646
4832;5,18119382858276
4865;5,16319465637207
4898;5,13933801651001
4932;5,11019611358643
4965;5,08738470077515
4998;5,07396507263184
5032;5,0659441947937
5065;5,05964374542236
5098;5,05364656448364
5132;5,04798555374146
5165;5,04284763336182
5198;5,03814888000488
5232;5,03365182876587
5265;5,02924108505249
5298;5,02542686462402
5332;5,02396869659424
5365;5,0282940864563
5398;5,04318714141846
5432;5,07264852523804
5465;5,11479091644287
5498;5,15782785415649
5532;5,18432331085205
5565;5,18298673629761
5598;5,15988683700562
5632;5,13426208496094
5665;5,11873245239258
5698;5,11116361618042
5732;5,10481071472168
5765;5,09636211395264
5798;5,08591413497925
5832;5,07491016387939
5865;5,06462526321411
5898;5,05571842193604
5932;5,04832887649536
5965;5,04236793518066
5998;5,03770971298218
6032;5,03422880172729
6065;5,03172922134399
6098;5,02996158599854
6132;5,02871751785278
6165;5,02779817581177
6198;5,02691268920898
6232;5,02568531036377
6265;5,02385711669922
6298;5,02163028717041
6332;5,02001762390137
6365;5,02126550674438
6398;5,02905750274658
6432;5,04792022705078
6465;5,08122062683105
6498;5,12705993652344
6532;5,17559480667114
6565;5,21636247634888
6598;5,24901914596558
6632;5,27888822555542
6665;5,30574703216553
6698;5,32558441162109
6732;5,33731126785278
6765;5,34275579452515
6798;5,34405755996704
6832;5,34235525131226
6865;5,33740568161011
6898;5,32798767089844
6932;5,31300020217896
6965;5,29344511032104
6998;5,27525329589844
